place,sector,employment,proportion
Orillia,212 Mining and quarrying (except oil and gas),75,0.005174198
Kelowna,336 Transportation equipment manufacturing,525,0.005132216
Bay Roberts,324 Petroleum and coal products manufacturing,25,0.005128205
Truro,213 Support activities for mining and oil and gas extraction,115,0.005100909
Thetford Mines,212 Mining and quarrying (except oil and gas),65,0.005086072
Kawartha Lakes,326 Plastics and rubber products manufacturing,180,0.005076142
Kawartha Lakes,331 Primary metal manufacturing,180,0.005076142
Dolbeau-Mistassini,212 Mining and quarrying (except oil and gas),35,0.005028736
Kingston,336 Transportation equipment manufacturing,410,0.005025742
Rimouski,331 Primary metal manufacturing,135,0.005007418
Port Alberni,213 Support activities for mining and oil and gas extraction,55,0.005
Port Alberni,336 Transportation equipment manufacturing,55,0.005
Lethbridge,211 Oil and gas extraction,310,0.004963971
Corner Brook,212 Mining and quarrying (except oil and gas),75,0.00492126
Owen Sound,327 Non-metallic mineral product manufacturing,75,0.004900359
"Arnprior, ON",326 Plastics and rubber products manufacturing,40,0.004895961
Edmonton,325 Chemical manufacturing,3635,0.004876871
Trois-RiviÃ¨res,336 Transportation equipment manufacturing,360,0.004861252
Vernon,211 Oil and gas extraction,140,0.004814305
Joliette,336 Transportation equipment manufacturing,105,0.004801097
Chilliwack,326 Plastics and rubber products manufacturing,230,0.00479017
Powell River,212 Mining and quarrying (except oil and gas),35,0.004732928
Moose Jaw,336 Transportation equipment manufacturing,85,0.004732739
QuÃ©bec,336 Transportation equipment manufacturing,2030,0.004708174
"Kitchener - Cambridge - Waterloo, ON",325 Chemical manufacturing,1340,0.004701177
"Stratford, ON",327 Non-metallic mineral product manufacturing,80,0.004686585
"Sylvan Lake, AB",324 Petroleum and coal products manufacturing,40,0.004667445
"Leamington, ON",325 Chemical manufacturing,105,0.004646018
Vernon,327 Non-metallic mineral product manufacturing,135,0.004642366
"Centre Wellington, ON",331 Primary metal manufacturing,70,0.00464191
Canmore,325 Chemical manufacturing,40,0.004626952
Corner Brook,211 Oil and gas extraction,70,0.004593176
"Wood Buffalo, AB",212 Mining and quarrying (except oil and gas),205,0.004585617
"Saguenay, QC",327 Non-metallic mineral product manufacturing,355,0.004585378
"Barrie, ON",327 Non-metallic mineral product manufacturing,495,0.004572326
"Sept-Îles, QC",213 Support activities for mining and oil and gas extraction,65,0.004564607
North Battleford,212 Mining and quarrying (except oil and gas),45,0.004556962
North Bay,326 Plastics and rubber products manufacturing,155,0.004531501
St. Catharines - Niagara,325 Chemical manufacturing,900,0.004511052
"Sarnia, ON",213 Support activities for mining and oil and gas extraction,205,0.004495121
Yorkton,213 Support activities for mining and oil and gas extraction,45,0.00448654
"Fort St. John, BC",324 Petroleum and coal products manufacturing,75,0.004482965
"Okotoks, AB",325 Chemical manufacturing,70,0.004471415
Edmonton,324 Petroleum and coal products manufacturing,3330,0.00446767
QuÃ©bec,325 Chemical manufacturing,1920,0.004453052
"Lacombe, AB",212 Mining and quarrying (except oil and gas),30,0.004447739
Courtenay,213 Support activities for mining and oil and gas extraction,110,0.004433696
Duncan,213 Support activities for mining and oil and gas extraction,90,0.004433498
Kawartha Lakes,212 Mining and quarrying (except oil and gas),155,0.004371122
"Ingersoll, ON",327 Non-metallic mineral product manufacturing,30,0.004350979
"Barrie, ON",325 Chemical manufacturing,470,0.0043414
Shawinigan,326 Plastics and rubber products manufacturing,100,0.004313133
Thunder Bay,213 Support activities for mining and oil and gas extraction,260,0.004287953
"Val-d'Or, QC",327 Non-metallic mineral product manufacturing,75,0.004282044
Brandon,213 Support activities for mining and oil and gas extraction,135,0.004276212
Chilliwack,327 Non-metallic mineral product manufacturing,205,0.004269499
Squamish,211 Oil and gas extraction,50,0.004251701
"Williams Lake, BC",211 Oil and gas extraction,40,0.004192872
Duncan,327 Non-metallic mineral product manufacturing,85,0.004187192
Drummondville,331 Primary metal manufacturing,200,0.004162331
Victoriaville,331 Primary metal manufacturing,100,0.004158869
"London, ON",331 Primary metal manufacturing,1050,0.004158251
"Tillsonburg, ON",327 Non-metallic mineral product manufacturing,30,0.004155125
Sherbrooke,327 Non-metallic mineral product manufacturing,435,0.004137537
Terrace,213 Support activities for mining and oil and gas extraction,35,0.004127358
Nelson,213 Support activities for mining and oil and gas extraction,40,0.004106776
Bay Roberts,331 Primary metal manufacturing,20,0.004102564
